Question,formal,informal
What is the main mode of transportation shown?,The main mode of transportation shown is scooters and bicycles.,Scooters and bicycles are everywhere.
How many people are visible in the image?,Approximately 20 people are visible in the image.,A ton—easily 30+ peeps.
What type of vehicle is the man riding?,The man is riding a scooter.,Classic scooter vibes.
Are there any bicycles in the image?,"Yes, there are bicycles in the image.","Yeah, a bunch cruising around."
What type of shops can be seen in the street?,Small local shops can be seen along the street.,Looks like small local shops or stalls.
What time of day does the image appear to show?,The image appears to show daytime.,"Definitely daytime, mid-morning-ish maybe."
What is the condition of the road in the image?,The road appears dusty and slightly uneven.,Dusty and a bit chaotic.
How crowded is the street?,The street is moderately crowded.,Packed! It’s a total hustle-bustle scene.
Are there overhead cables visible in the image?,"Yes, overhead cables are visible in the image.","Oh yeah, like a whole spiderweb of wires."
How many people are on foot in the image?,Approximately 10 people are on foot in the image.,At least 15+ walking around.
Is there a child visible in the image?,"Yes, a child is visible on the scooter.","Yup, on the scooter with the man."
What is the main color of the scooter?,The main color of the scooter is silver.,"It’s silver, sleek-ish."
How many rickshaws are present in the image?,At least one rickshaw is visible in the image.,I spot at least two hanging out.
Are there any signs or banners visible?,"Yes, signs or banners are visible in the background.","Yep, a couple in the background."
What are the people in the image doing?,"The people are walking, riding vehicles, and engaging in daily activities.","Walking, riding, shopping, just life stuff."
How many bicycles are on the road?,At least two bicycles are on the road.,"Around three or four, maybe."
Is the street an urban or rural setting?,The street is an urban setting.,"Urban, for sure."
Are there any women in traditional attire?,"Yes, women in traditional attire are visible.","Definitely, a few can be seen."
Are any vehicles parked along the street?,No parked vehicles are clearly visible.,"A couple seem parked, yeah."
How many people are riding scooters?,Two people are riding scooters in the image.,At least two spotted scooting around.
What is the main vehicle type in the image?,The main vehicle type in the image is scooters.,Scooters all the way!
How many people are walking on the street?,Approximately 10 people are walking on the street.,"Easily 15+, it's a walking crowd."
Are there any bicycles visible?,"Yes, bicycles are visible in the image.","Yep, a few are hanging around."
What type of shops can be seen nearby?,"Small, local shops are visible nearby.",Small local shops and street stalls.
How crowded does the street appear to be?,The street appears moderately crowded.,"Super packed, like chaos central."
What is the condition of the road?,The road appears dusty and uneven.,Dusty and kinda rough.
Is the street wide or narrow?,The street is relatively narrow.,"Pretty narrow, tbh."
Are there any overhead cables visible?,"Yes, overhead cables are visible.","Oh yeah, cables everywhere above."
What is the main activity of the people?,"The main activity of the people is walking, riding vehicles, and shopping.","Walking, riding, and just vibing."
How many scooters are visible?,At least two scooters are visible.,Around 3 or 4 in action.
Are there any women wearing traditional attire?,"Yes, women wearing traditional attire are visible.","Yep, a bunch of them can be seen."
Are there any children in the image?,"Yes, there is a child in the image.","For sure, there’s one on a scooter."
How many rickshaws can be seen?,At least one rickshaw is visible.,At least 2 are chilling there.
Are there any signs or advertisements?,"Yes, signs or advertisements are visible in the background.","Yeah, a couple of banners in the back."
Is the street in an urban or rural area?,The street is in an urban area.,"Definitely urban, no doubt."
How many parked vehicles are there?,There are no clearly parked vehicles visible.,"A few seem to be parked, maybe 2-3."
Is there a man riding a scooter?,"Yes, there is a man riding a scooter.","Yup, front and center with a kid!"
What color is the most prominent vehicle?,The most prominent vehicle is silver in color.,"Silver, shiny and slick."
Are there any bicycles in motion?,"Yes, there are bicycles in motion.","Yeah, a couple are on the move."
Are any vendors visible in the image?,"Yes, vendors are visible in the image.",Looks like a few near the shops.
What objects are people carrying in the image?,,
Are there any cars visible on the street?,,
How wide is the road in the image?,,
Are there any streetlights visible?,,
Are any pedestrians interacting with vehicles?,,
What is the dominant color of the buildings?,,
Are there any children walking in the image?,,
What type of clothing are the people wearing?,,
How many people are riding bicycles?,,
Are there any visible advertisements?,,
Is there any construction visible in the image?,,
What is the general atmosphere of the street?,,
How many people are seated in the image?,,
Are there any animals visible in the image?,,
Is there any visible greenery in the image?,,
Are there any motorized rickshaws in the image?,,
Are the buildings residential or commercial?,,
How many people are using non-motorized transport?,,
Are any electrical poles visible?,,
Are there any people crossing the street?,,
What is the primary mode of transportation in the image?,,
How many people are visible in the image?,,
What type of vehicle is the man riding?,,
How many bicycles can be seen in the image?,,
Are there any rickshaws in the image?,,
How many people are riding scooters?,,
What are the pedestrians doing in the image?,,
Are there any banners or signs visible?,,
What is the general condition of the road?,,
How crowded does the street appear to be?,,
Are there any overhead cables visible?,,
How many women are visible in the image?,,
Are there children visible in the image?,,
What is the man on the scooter carrying?,,
How many people are wearing traditional attire?,,
Are there any street vendors present?,,
What type of shops are on the street?,,
Are there any parked vehicles on the street?,,
Are there any cars in the image?,,
How many people are riding bicycles?,,
What time of day does the image appear to represent?,,
Is there any visible greenery in the image?,,
Are there any streetlights visible?,,
Are there any animals visible in the image?,,
Are there any people sitting in the image?,,
How many buildings can be seen in the image?,,
Are the buildings commercial or residential?,,
How many people are walking on the road?,,
What is the main color of the man’s scooter?,,
Are there any people crossing the street?,,
What objects are people carrying in the image?,,
Are there any advertisements in the image?,,
Is there any visible construction work?,,
What is the width of the street?,,
Are there any vehicles with more than two wheels?,,
Are there any electric poles in the image?,,
Is there a market in the street?,,
Are there any people cycling with goods?,,
How many people are on two-wheeled vehicles?,,
What is the dominant activity on the street?,,
