Question,en,es,fr
What is the primary material of the French horn in the image?,The primary material of the French horn appears to be brass.,"El material principal del corno francés en la imagen es metal, probablemente latón.",Le cor d'harmonie est principalement fabriqué en laiton.,
How many valves does the French horn have?,The French horn has four valves.,El corno francés tiene cuatro válvulas.,Ce cor d'harmonie dispose de quatre pistons.,
What is the color of the French horn?,The color of the French horn is a gold or brass color.,El color del corno francés es dorado.,La couleur du cor d'harmonie est dorée.,
Is there any visible branding or maker's mark on the French horn?,No visible branding or maker's mark can be seen on the French horn in the image.,No hay marcas o sellos visibles del fabricante en el corno francés.,Il n'y a pas de marque visible ou de poinçon du fabricant sur le cor d'harmonie dans l'image.,
What type of finish does the French horn have?,The French horn has a lacquered finish.,El corno francés tiene un acabado mate o sin brillo.,Le cor d'harmonie a une finition mate.,
Does the French horn have a detachable bell?,It's not possible to determine from the image if the bell is detachable.,No se puede determinar con certeza si la campana es desmontable o no.,Le cor d'harmonie ne semble pas avoir un pavillon détachable.,
What is the shape of the French horn's bell?,The bell shape is flared and typical of a French horn.,La campana del corno francés tiene forma de embudo o de flor.,Le pavillon du cor d'harmonie a une forme évasée classique.,
Are there any noticeable dents or damage on the French horn?,There are no obvious noticeable dents or damage on the French horn.,Hay algunas abolladuras y señales de daño visibles en el corno francés.,Il n'y a pas de dommages visibles ou de bosses notables sur le cor d'harmonie.,
What is the approximate size of the French horn?,"The French horn is approximately the size of a standard French horn, which is typically 12 to 13 inches in bell width and 18 inches in length.","El tamaño aproximado del corno francés es mediano, típico de este tipo de instrumento.",La taille du cor d'harmonie est approximativement de taille moyenne pour ce type d'instrument.,
Does the French horn have a thumb lever or a trigger?,There is a thumb lever present on the French horn.,Hay una palanca para el pulgar visible en el corno francés.,"Oui, le cor d'harmonie a un levier pour le pouce.",
How many tubing turns are there in the French horn's body?,"There are multiple tubing turns; specifically, it looks to be a double or triple French horn based on the complexity.","El cuerpo del corno francés tiene múltiples giros de tubería, que es característico del instrumento.",Le corps du cor d'harmonie présente trois tours complets de tuyauterie.,
Does the French horn have a mouthpiece attached?,"Yes, there is a mouthpiece attached to the French horn.",El corno francés parece tener una boquilla adjunta.,Il y a une embouchure attachée au cor d'harmonie.,
