Question,en,es,fr
What is the man in the suit doing in the image?,The man in the suit is taking a picture.,Está tomando una foto.,L’homme prend une photo ou filme avec son téléphone.
What type of device is the man holding?,The man is holding a smartphone.,Sostiene un teléfono móvil.,L’homme tient un téléphone portable.
What color is the man’s suit?,The man’s suit is gray.,El traje es de color gris.,Le costume de l’homme est gris.
What is visible in the background of the image?,"Buildings, a basketball court, trees, and a street are visible.","Hay edificios, una cancha de baloncesto y árboles.","À l’arrière-plan, on voit des immeubles et un terrain de basketball."
Are there any construction sites visible in the image?,"Yes, there is a construction site visible in the background.","Sí, se ve un sitio de construcción.","Oui, un chantier est visible à l’arrière-plan."
How many people are visible near the basketball court?,Four people are visible near the basketball court.,Hay al menos tres personas visibles cerca de la cancha.,Il y a quatre personnes près du terrain de basketball.
What is the primary setting of this image?,The primary setting is an urban area with a mix of buildings and greenery.,Es un entorno urbano.,Le cadre principal est urbain.
Are there any vehicles visible in the image?,"Yes, there are vehicles visible on the street in the background.","Sí, se ven vehículos.","Oui, des véhicules sont visibles à l’arrière-plan."
What kind of activity is happening on the basketball court?,"People are walking near the basketball court, but no game is visible.",Personas caminando o reunidas cerca de la cancha.,Des personnes marchent ou se tiennent près du terrain.
Is the man looking at the camera or away?,The man is looking away from the camera.,Está mirando hacia otro lado.,"L’homme regarde ailleurs, pas la caméra."
Are there trees visible in the image?,"Yes, there are trees visible in the image.","Sí, hay árboles visibles.","Oui, des arbres sont visibles."
What type of buildings are seen in the background?,The buildings in the background are a mix of modern and historic styles.,Se ven edificios altos y en su mayoría históricos.,On voit des bâtiments historiques et modernes.
Is the basketball court elevated or at ground level?,The basketball court is at ground level.,Está a nivel del suelo.,Le terrain de basketball est au niveau du sol.
What material is the railing made of?,The railing appears to be made of metal.,El barandal parece estar hecho de metal.,Le garde-corps est en métal.
Are there any visible advertisements or signs in the image?,No visible advertisements or signs are noticeable in the image.,No hay anuncios claramente visibles.,"Non, il n’y a pas de publicités clairement visibles."
Is the man standing alone or near other people?,The man is standing alone.,Está solo.,L’homme est seul.
Are the buildings in the background modern or historic?,The buildings in the background are primarily historic.,Los edificios son en su mayoría históricos.,Les bâtiments sont un mélange de modernes et historiques.
What is the man possibly taking a picture of?,The man is possibly taking a picture of the buildings or the scene in front of him.,Posiblemente está fotografiando los edificios o el entorno urbano.,Il prend probablement en photo le paysage urbain.
Is there greenery in the scene?,"Yes, there is greenery in the scene.","Sí, hay vegetación.","Oui, il y a de la verdure."
Are the streets in the background crowded or relatively empty?,The streets in the background are relatively empty.,Relativamente vacías.,Les rues sont relativement vides.
