Question,formal,informal
What is the person doing in the image?,The person is surfing.,Surfing and shredding the waves.
How many waves are visible in the image?,Multiple waves are visible.,"Looks like three main waves, one big and a couple of smaller ones."
What type of activity is shown in the image?,The activity shown is surfing.,"Surfing, baby!"
Is the person wearing protective gear?,"The person appears to be wearing a wetsuit, which may serve as protection.","Looks like they’re wearing a wetsuit, so yeah."
What color is the water in the image?,The water is a mix of blue and green hues.,"A mix of blue and green, classic ocean vibes."
Is the ocean calm or rough in the image?,The ocean appears moderately rough.,"It's got some action, not crazy rough but definitely not calm."
What is the weather like in the image?,"The weather appears clear, with no indication of rain.",Looks sunny but with a few clouds hanging around.
Is the person riding a wave?,"Yes, the person is riding a wave.","Yup, they’re totally riding that wave."
Are there any clouds in the sky?,"The sky appears mostly clear, with minimal clouds visible.","Yeah, there are some scattered clouds."
What is the color of the person's surfboard?,The surfboard is white.,"Hard to say for sure, but looks white-ish."
How high is the wave in the image?,"The wave appears to be medium height, approximately a few feet tall.",Maybe 3-4 feet? Not giant but solid enough.
Can you see any other surfers in the image?,"No, there are no other surfers visible in the image.","Nope, just this one surfer owning the scene."
Is the person facing toward or away from the wave?,The person is facing toward the wave.,"Facing away, riding it like a pro."
What position is the person in on the surfboard?,The person is in a standing position.,"Standing up, looking balanced and ready."
Does the person appear to be experienced?,The person appears to have some level of experience based on posture.,"Looks pretty experienced, they’ve got good form."
Are there any objects besides the surfer in the water?,No other objects are visible in the water.,"Nope, just water and waves."
What is the color of the person's outfit?,The outfit is black.,"Black wetsuit, classic surfer gear."
Is this a professional or casual surfing scene?,This appears to be a casual surfing scene.,Definitely more casual vibes.
How far is the surfer from the shoreline?,The surfer is a moderate distance from the shoreline.,"Maybe 20-30 feet out, not too far."
Is the horizon straight in the image?,"Yes, the horizon appears straight.","Yep, the horizon’s nice and straight."
What is the person doing in the image?,The person is surfing.,Surfing and catching a wave.
What is the activity shown in the image?,The activity shown is surfing.,"Surfing, for sure."
How many waves are visible in the image?,Multiple waves are visible.,About three solid waves rolling in.
Is the person riding the wave successfully?,"Yes, the person is riding the wave successfully.","Totally, they’re riding it like a champ."
Is the ocean calm or rough in the image?,The ocean appears moderately rough.,"It’s got some decent waves, not too rough but not flat either."
What is the color of the water in the image?,The water is a blend of blue and green tones.,"Ocean greenish-blue, classic surf spot vibe."
What type of clothing is the person wearing?,The person is wearing a black wetsuit.,"A black wetsuit, staying ready for the waves."
Is the sky clear or cloudy in the image?,The sky appears mostly clear with minimal clouds.,"Partly cloudy, with a nice mix of blue sky."
What direction is the surfer facing?,The surfer is facing toward the wave.,"Facing away from the wave, riding it smoothly."
What is the height of the wave in the image?,"The wave is medium height, approximately a few feet tall.","Probably around 3-4 feet, enough for a fun ride."
Are there any visible objects in the ocean?,No other objects are visible in the ocean.,"Just water, waves, and the surfer—no distractions here."
How far is the surfer from the shore?,The surfer is a moderate distance from the shore.,"Not too far, maybe 20-30 feet out."
What is the weather like in the image?,The weather is clear and sunny.,"Nice and breezy, with a mix of sun and clouds."
Does the person appear experienced or beginner?,The person appears experienced based on posture and control.,"Looks experienced, they’ve got good balance and control."
Are there any other people visible in the image?,"No, there are no other people visible in the image.","Nope, it’s just this lone surfer doing their thing."
What is the color of the person's surfboard?,The surfboard is white.,Pretty white or light-colored.
Is the horizon straight in the image?,"Yes, the horizon appears straight.","Yep, the horizon’s perfectly straight."
Is the person wearing protective gear?,"The person is wearing a wetsuit, which provides some protection.","Just a wetsuit, standard surfing gear."
What is the most prominent wave in the image?,The wave being ridden by the surfer is the most prominent.,"The one they’re riding, stealing the show."
Is the surfer in the center of the image?,"No, the surfer is slightly off-center in the image.","Nah, they’re a bit to the left in the frame."
How much of the surfboard is above water?,,
Is the wave breaking in the image?,,
Are there visible patterns in the waves?,,
What is the general mood of the image?,,
Can you identify the time of day from the image?,,
Are there any birds visible in the image?,,
What kind of movement is captured in the image?,,
Is the ocean deep or shallow near the surfer?,,
Are there any distinct colors in the outfit?,,
Is the surfboard tilted at an angle?,,
What part of the wave is the surfer on?,,
How large is the surfboard compared to the person?,,
What is the background of the image?,,
Is the water foamy near the surfer?,,
Is this image taken in a natural environment?,,
