Question,en,es,fr
How many surfboards are visible in the image?,Nine surfboards are visible.,Hay ocho tablas de surf visibles en la imagen.,Huit planches de surf sont visibles.
What are the predominant colors of the surfboards?,"Yellow, blue, green, and red are predominant.","Los colores predominantes son amarillo, azul, verde, rojo y negro.","Les couleurs dominantes sont le jaune, bleu, vert et rouge."
Are the surfboards standing upright or lying flat?,The surfboards are standing upright.,Las tablas de surf están acostadas en la arena.,Les planches de surf sont debout.
What material are the surfboards made of?,Likely fiberglass or a similar composite material.,Las tablas de surf están hechas de material plástico o fibra de vidrio.,Les planches sont en plastique ou en fibre de verre.
Are any surfboards showing signs of wear or damage?,"Yes, some surfboards show signs of wear.","Sí, la tabla amarilla muestra signos de desgaste.","Oui, la planche jaune présente des signes d'usure."
What pattern is on the yellow surfboard's grip pad?,A honeycomb-like pattern is visible.,La almohadilla tiene un patrón de puntos.,Le pad présente un motif en losange.
Is there sand visible beneath the surfboards?,"Yes, sand is visible.","Sí, se ve arena debajo de las tablas de surf.","Oui, du sable est visible sous les planches."
What is supporting the surfboards to keep them upright?,They are supported by ropes and possibly a structure behind them.,No hay soporte visible; están en el suelo.,Elles sont soutenues par un fil ou une corde.
How many surfboards are blue in color?,Three surfboards are blue.,Hay tres tablas de color azul.,Trois planches de surf sont bleues.
Are there any logos or branding visible on the surfboards?,"Yes, some logos and branding are visible.","Sí, se ven algunos logos o marcas en las tablas.","Oui, des logos et des marques sont visibles."
What weather conditions are suggested by the scene?,"Likely sunny or partly cloudy, as suggested by the umbrella and sand.",La escena sugiere un clima soleado.,Il semble qu'il fait nuageux ou partiellement couvert.
Is there an umbrella visible in the background?,"Yes, an umbrella is visible.","Sí, hay una sombrilla visible en el fondo.","Oui, un parasol est visible à l'arrière-plan."
How are the surfboards arranged in relation to one another?,They are arranged side by side in a row.,Las tablas están alineadas una al lado de la otra.,"Elles sont disposées en ligne, côte à côte."
Are any surfboards missing grip pads?,"Yes, some surfboards are missing grip pads.","No, todas las tablas tienen almohadilla de agarre.","Non, toutes les planches visibles ont un pad."
Do all surfboards have the same size and shape?,"No, they vary slightly in size and shape.","No, las tablas tienen diferentes tamaños y formas.","Non, les planches diffèrent légèrement en taille et forme."
Are the surfboards clean or dirty?,Some surfboards appear dirty or worn.,"Las tablas están algo sucias, especialmente la amarilla.",Les planches semblent légèrement sales.
What colors are visible on the surfboard with the star logo?,Yellow and black.,"Los colores visibles son amarillo, negro y gris.",La planche avec le logo étoile est jaune.
Are there any unique patterns or designs on the surfboards?,"Yes, there are various patterns and designs.","Sí, algunas tablas tienen diseños o patrones únicos, como el logo de estrella.","Oui, certains ont des designs géométriques."
Is this scene likely at a beach or elsewhere?,Likely at a beach.,"Sí, es probable que esté en una playa.","Oui, cette scène est probablement à la plage."
What might the surfboards indicate about the area's activities?,The area is likely popular for surfing.,Indican que el área está destinada al surf.,Elles indiquent probablement une activité de surf.
How many surfboards are shown in the image?,Nine surfboards are shown.,Se muestran ocho tablas de surf en la imagen.,Huit planches de surf sont montrées.
What are the colors of the surfboards?,"Yellow, blue, green, red, and beige.","Los colores son amarillo, azul, verde, rojo, y negro.","Jaune, bleu, vert, rouge, et une touche de noir et blanc."
Are the surfboards standing vertically or horizontally?,The surfboards are standing vertically.,"Las tablas están en posición horizontal, acostadas en la arena.",Elles sont debout verticalement.
How are the surfboards arranged in the image?,The surfboards are arranged side by side in a row.,"Las tablas están alineadas en fila, una al lado de la otra.","Elles sont disposées en ligne, côte à côte."
Are there visible logos or brand names on any surfboards?,"Yes, some surfboards have visible logos or brand names.","Sí, se ven logos o marcas en varias tablas de surf.","Oui, des logos sont visibles sur certaines planches."
Which surfboard appears the most worn out?,The yellow surfboard on the far left appears the most worn out.,La tabla amarilla parece ser la más desgastada.,La planche jaune semble la plus usée.
