Question,en,es,fr
What is the person doing in the image?,The person is surfing.,La persona está surfeando.,La personne surfe sur une vague.
How many waves are visible in the image?,Multiple waves are visible.,Son visibles varias olas en la imagen.,Plusieurs vagues sont visibles.
What type of activity is shown in the image?,The activity shown is surfing.,Se muestra la actividad de surf.,L'image montre du surf.
Is the person wearing protective gear?,"Yes, the person appears to be wearing a wetsuit.","Sí, la persona parece llevar traje de neopreno como protección.","Oui, la personne porte une combinaison."
What color is the water in the image?,The water is blue with white foam.,El agua es de color azul verdoso.,L'eau est bleue avec des nuances de blanc à cause de l'écume.
Is the ocean calm or rough in the image?,The ocean appears moderately rough.,El océano está agitado.,L'océan est agité.
What is the weather like in the image?,The weather is clear with some clouds.,El clima parece despejado o parcialmente nublado.,Le temps est nuageux mais clair.
Is the person riding a wave?,"Yes, the person is riding a wave.","Sí, la persona está montando una ola.","Oui, la personne surfe une vague."
Are there any clouds in the sky?,"Yes, there are some clouds in the sky.","Sí, hay algunas nubes en el cielo.","Oui, il y a quelques nuages."
What is the color of the person's surfboard?,The surfboard is white.,La tabla de surf de la persona es blanca.,La planche est blanche.
How high is the wave in the image?,"The wave is of moderate height, approximately 3–5 feet.",La ola es de altura media.,"La vague est moyenne, environ un mètre de hauteur."
Can you see any other surfers in the image?,"No, no other surfers are visible in the image.","No, no se ven otros surfistas en la imagen.","Non, il n’y a pas d’autres surfeurs visibles."
Is the person facing toward or away from the wave?,The person is facing away from the wave.,La persona está de cara a la ola.,La personne est face à la vague.
What position is the person in on the surfboard?,The person is standing on the surfboard.,La persona está de pie sobre la tabla.,La personne est debout sur la planche.
Does the person appear to be experienced?,The person appears to have some level of experience.,"Sí, la persona parece tener experiencia.","Oui, la personne semble expérimentée."
Are there any objects besides the surfer in the water?,"No, there are no other objects visible in the water.","No, no se ven otros objetos en el agua.","Non, il n’y a pas d’autres objets visibles dans l’eau."
What is the color of the person's outfit?,The outfit is black.,El atuendo de la persona es negro.,La tenue est noire.
Is this a professional or casual surfing scene?,This appears to be a casual surfing scene.,Es una escena de surf casual.,Il s’agit d’une scène de surf décontractée.
How far is the surfer from the shoreline?,The surfer is moderately far from the shoreline.,El surfista está a una distancia moderada de la orilla.,Le surfeur est à une distance modérée du rivage.
Is the horizon straight in the image?,"Yes, the horizon appears straight.","Sí, el horizonte está recto.","Oui, l’horizon est droit."
What is the person doing in the image?,The person is surfing.,La persona está surfeando.,La personne surfe sur une vague.
What is the activity shown in the image?,The activity shown is surfing.,Se muestra la actividad de surf.,L'activité montrée est le surf.
How many waves are visible in the image?,Multiple waves are visible.,Son visibles varias olas.,Plusieurs vagues sont visibles.
Is the person riding the wave successfully?,"Yes, the person is riding the wave successfully.","Sí, la persona está montando la ola con éxito.","Oui, la personne surfe la vague avec succès."
Is the ocean calm or rough in the image?,The ocean appears moderately rough.,El océano está agitado.,L'océan est agité.
What is the color of the water in the image?,The water is blue with white foam.,El agua es de color azul verdoso.,L'eau est bleue avec de l'écume blanche.
What type of clothing is the person wearing?,The person is wearing a black wetsuit.,La persona lleva un traje de neopreno.,La personne porte une combinaison noire.
Is the sky clear or cloudy in the image?,The sky is partially cloudy.,El cielo está parcialmente nublado.,Le ciel est partiellement nuageux.
What direction is the surfer facing?,The surfer is facing away from the wave.,"El surfista está mirando hacia adelante, en dirección a la ola.",Le surfeur fait face à la vague.
What is the height of the wave in the image?,"The wave is moderately high, approximately 3–5 feet.",La ola es de altura media.,"La vague est moyenne, environ un mètre."
Are there any visible objects in the ocean?,"No, there are no other visible objects in the ocean.",No hay objetos visibles aparte del surfista y la tabla.,"Non, aucun autre objet n'est visible dans l'océan."
How far is the surfer from the shore?,The surfer is moderately far from the shore.,El surfista está a una distancia moderada de la orilla.,Le surfeur est à une distance modérée du rivage.
What is the weather like in the image?,The weather is clear with some clouds.,El clima parece despejado con algunas nubes.,Le temps est clair avec quelques nuages.
Does the person appear experienced or beginner?,The person appears to have some experience.,La persona parece experimentada.,La personne semble expérimentée.
Are there any other people visible in the image?,"No, no other people are visible in the image.","No, no hay otras personas visibles en la imagen.","Non, il n'y a pas d'autres personnes visibles."
What is the color of the person's surfboard?,The surfboard is white.,La tabla de surf es blanca.,La planche de surf est blanche.
Is the horizon straight in the image?,"Yes, the horizon is straight.","Sí, el horizonte está recto.","Oui, l'horizon est droit."
Is the person wearing protective gear?,"Yes, the person is wearing a wetsuit, which provides some protection.","Sí, la persona lleva un traje de neopreno como equipo de protección.","Oui, la personne porte une combinaison protectrice."
What is the most prominent wave in the image?,The wave the surfer is riding is the most prominent.,La ola que está montando la persona es la más prominente.,La vague sur laquelle la personne surfe est la plus visible.
Is the surfer in the center of the image?,"Yes, the surfer is near the center of the image.","Sí, el surfista está en el centro de la imagen.","Non, le surfeur est légèrement sur le côté de l'image."
How much of the surfboard is above water?,,,
Is the wave breaking in the image?,,,
Are there visible patterns in the waves?,,,
What is the general mood of the image?,,,
Can you identify the time of day from the image?,,,
Are there any birds visible in the image?,,,
What kind of movement is captured in the image?,,,
Is the ocean deep or shallow near the surfer?,,,
