Question,en,es,fr
What is the color of the refrigerator in the image?,The refrigerator is black.,El refrigerador es negro.,Le réfrigérateur est noir.
What type of flooring is visible in the image?,The flooring is red with a textured finish.,"El piso es de color rojo brillante, probablemente vinilo.",Le sol est en linoléum rouge.
What is located in the room behind the refrigerator?,"A broom, shoes, and a white bag are visible in the room behind.","Hay una escoba, una bolsa blanca y un reloj en la pared.",Un balai et un sac blanc sont visibles.
Are there any shoes visible in the image?,"Yes, there are shoes visible in the image.","Sí, hay zapatos visibles.","Oui, des chaussures sont visibles."
Does the refrigerator have a freezer drawer at the bottom?,"Yes, the refrigerator has a freezer drawer at the bottom.","Sí, tiene un cajón congelador en la parte inferior.","Oui, il a un tiroir congélateur en bas."
How many doors does the refrigerator have?,The refrigerator has two doors.,El refrigerador tiene dos puertas.,Le réfrigérateur a deux portes.
What color is the wall near the refrigerator?,The wall near the refrigerator is yellow.,La pared es de color amarillo claro.,Le mur est beige.
Is there a broom visible in the background?,"Yes, a broom is visible in the background.","Sí, hay una escoba visible.","Oui, un balai est visible."
What type of door is visible behind the refrigerator?,A wooden door is visible behind the refrigerator.,Es una puerta de madera.,Une porte en bois est visible.
Are there any light switches visible in the image?,"Yes, a light switch is visible in the image.","Sí, hay un interruptor visible.","Oui, un interrupteur est visible."
What objects are visible on the floor in the background?,"Shoes, a broom, and a white bag are visible on the floor.",Hay una bolsa blanca y zapatos visibles en el piso.,Des chaussures et un sac blanc sont visibles.
Is the refrigerator placed on any platform or mat?,"Yes, the refrigerator is placed on a cardboard platform or mat.","Sí, está colocado sobre una plataforma o cartón.","Oui, il est placé sur un tapis ou un support en carton."
What is the primary material of the wall visible?,The wall appears to be wooden with painted panels.,La pared parece ser de madera o paneles de madera.,Le mur semble être en bois ou en lambris.
Are the doors in the background open or closed?,The doors in the background are open.,Las puertas en el fondo están abiertas.,Les portes en arrière-plan sont ouvertes.
Is there a clock visible in the image?,"Yes, a clock is visible in the background.","Sí, hay un reloj visible.","Oui, une horloge est visible."
How many handles are on the refrigerator?,The refrigerator has two handles.,El refrigerador tiene dos manijas.,Il y a deux poignées sur le réfrigérateur.
What appears to be stored in the white bag in the background?,The white bag appears to store miscellaneous items (contents unclear).,Parece haber objetos de limpieza o materiales varios.,Le contenu exact est indéterminé.
Does the refrigerator appear to be new or used?,The refrigerator appears to be new.,El refrigerador parece nuevo.,Le réfrigérateur semble neuf.
Is there a red color visible in the image?,"Yes, the red color is visible on the flooring.","Sí, el color rojo es visible en el piso.","Oui, la couleur rouge est visible sur le sol."
Is the room fully finished or under construction?,The room appears to be under construction.,La habitación parece estar en construcción.,La pièce semble être en travaux.
What is the color of the refrigerator in the image?,The refrigerator is black.,El refrigerador es negro.,Le réfrigérateur est noir.
What type of flooring is visible in the image?,The flooring is red with a speckled texture.,"El piso es rojo brillante, posiblemente vinilo.",Le sol est en linoléum rouge.
What is located in the room behind the refrigerator?,"A broom, shoes, and a white bag are visible in the room behind.","Hay una escoba, una bolsa blanca y un reloj en la pared.",Un balai et un sac blanc sont visibles.
Are there any shoes visible in the image?,"Yes, there are shoes visible in the image.","Sí, hay zapatos visibles.","Oui, des chaussures sont visibles."
Does the refrigerator have a freezer drawer at the bottom?,"Yes, the refrigerator has a freezer drawer at the bottom.","Sí, tiene un cajón congelador en la parte inferior.","Oui, il a un tiroir congélateur en bas."
How many doors does the refrigerator have?,The refrigerator has two doors.,El refrigerador tiene dos puertas.,Le réfrigérateur a deux portes.
What color is the wall near the refrigerator?,The wall near the refrigerator is yellow.,La pared es de color amarillo claro.,Le mur est beige.
Is there a broom visible in the background?,"Yes, a broom is visible in the background.","Sí, hay una escoba visible.","Oui, un balai est visible."
What type of door is visible behind the refrigerator?,A wooden door is visible behind the refrigerator.,Es una puerta de madera.,Une porte en bois est visible.
Are there any light switches visible in the image?,"Yes, a light switch is visible in the image.","Sí, hay un interruptor visible.","Oui, un interrupteur est visible."
What objects are visible on the floor in the background?,"Shoes, a broom, and a white bag are visible on the floor.",Hay una bolsa blanca y zapatos.,Des chaussures et un sac blanc sont visibles.
Is the refrigerator placed on any platform or mat?,"Yes, the refrigerator is placed on a cardboard platform or mat.","Sí, está colocado sobre una plataforma o cartón.","Oui, il est placé sur un support en carton."
What is the primary material of the wall visible?,The wall appears to be wooden with painted panels.,La pared parece ser de madera o paneles de madera.,Le mur semble être en bois ou en lambris.
Are the doors in the background open or closed?,The doors in the background are open.,Las puertas en el fondo están abiertas.,Les portes en arrière-plan sont ouvertes.
Is there a clock visible in the image?,"Yes, a clock is visible in the background.","Sí, hay un reloj visible.","Oui, une horloge est visible."
How many handles are on the refrigerator?,The refrigerator has two handles.,El refrigerador tiene dos manijas.,Il y a deux poignées sur le réfrigérateur.
What appears to be stored in the white bag in the background?,The white bag appears to store miscellaneous items (contents unclear).,Parece haber objetos de limpieza o materiales variados.,Le contenu du sac blanc n’est pas identifiable.
Does the refrigerator appear to be new or used?,The refrigerator appears to be new.,El refrigerador parece nuevo.,Le réfrigérateur semble neuf.
Is there a red color visible in the image?,"Yes, the red color is visible on the flooring.","Sí, el color rojo es visible en el piso.","Oui, la couleur rouge est visible sur le sol."
Is the room fully finished or under construction?,The room appears to be under construction.,La habitación parece estar en construcción.,La pièce semble être en travaux.
Does the refrigerator reflect any objects in the room?,,,
Are there any electrical outlets visible in the image?,,,
Is the refrigerator centered in the room?,,,
What style is the refrigerator (modern or traditional)?,,,
Are there any visible dents or scratches on the refrigerator?,,,
How many rooms are visible in the image?,,,
What is the color of the trim around the doors?,,,
Are there any decorations visible on the walls?,,,
Is there natural light visible in the image?,,,
What type of handles does the refrigerator have?,,,
Are there any cleaning tools visible in the image?,,,
What is the condition of the doorframe in the background?,,,
Is there a gap between the refrigerator and the wall?,,,
What is the shape of the refrigerator (square or rounded edges)?,,,
Are there any shelves or cabinets visible in the background?,,,
What is the purpose of the platform under the refrigerator?,,,
Does the flooring appear clean or dirty?,,,
Is there evidence of ongoing renovations in the room?,,,
Are there any reflective surfaces other than the refrigerator?,,,
How tall does the refrigerator appear compared to the doorframe?,,,
What is the main color of the refrigerator in the image?,,,
How many doors does the refrigerator have?,,,
Does the refrigerator have a freezer drawer?,,,
What type of flooring is visible in the image?,,,
What color are the walls near the refrigerator?,,,
Are there any shoes visible in the image?,,,
Is the refrigerator placed directly on the floor or on a platform?,,,
Is there a broom visible in the image?,,,
What color is the trim around the doors in the background?,,,
Are there any open doors in the image?,,,
Is the refrigerator reflective or matte?,,,
What items are visible on the floor in the background?,,,
Is there a clock visible in the image?,,,
Are there any light switches or electrical outlets visible?,,,
Is the refrigerator aligned with the wall?,,,
What is the state of the room in the background (organized or cluttered)?,,,
Are the walls painted or unfinished?,,,
What type of handles does the refrigerator have?,,,
Are there any visible signs of renovation in the room?,,,
Is the refrigerator modern or traditional in design?,,,
Does the room appear to have natural or artificial lighting?,,,
Are there any bags or storage items visible in the image?,,,
How many rooms are partially visible in the image?,,,
Does the flooring appear to be clean or dirty?,,,
What is the material of the refrigerator's handles?,,,
Is the refrigerator centered in the space?,,,
What is the dominant color in the background of the image?,,,
Are the walls in the background smooth or textured?,,,
Is there any visible furniture in the image?,,,
Is the refrigerator a French door style?,,,
Are there any visible decorations on the walls?,,,
Is the refrigerator door open or closed?,,,
What is the condition of the doorframe in the background?,,,
Is there any visible damage to the flooring?,,,
What type of object is near the doorframe in the background?,,,
Does the refrigerator reflect objects or light?,,,
Are there any signs of electrical wiring or installation work?,,,
Does the image suggest that the refrigerator is new or used?,,,
Are there any windows visible in the image?,,,
What is the overall condition of the room where the refrigerator is placed?,,,
