Question,en,es,fr
What is the main mode of transportation shown?,Motor scooters and bicycles.,El modo principal de transporte es la motocicleta.,Les scooters et les vélos.
How many people are visible in the image?,Approximately 30 people.,Hay muchas personas visibles en la imagen.,Environ une vingtaine de personnes.
What type of vehicle is the man riding?,A motor scooter.,El hombre está montando una motocicleta.,Il conduit un scooter.
Are there any bicycles in the image?,"Yes, several bicycles are visible.","Sí, hay bicicletas en la imagen.","Oui, il y a plusieurs vélos."
What type of shops can be seen in the street?,"Small, local shops and market stalls.",Se pueden ver tiendas locales en la calle.,"Des magasins de rue variés, mais spécifiques indéterminés."
What time of day does the image appear to show?,Likely daytime.,La imagen parece mostrar el día.,"La journée, probablement l’après-midi."
What is the condition of the road in the image?,The road appears dusty but functional.,La carretera está en condiciones normales.,La route est poussiéreuse et encombrée.
How crowded is the street?,The street is moderately crowded.,La calle está bastante concurrida.,"Oui, elle est assez animée."
Are there overhead cables visible in the image?,"Yes, there are overhead cables visible.","Sí, hay cables aéreos visibles.","Oui, plusieurs câbles aériens sont visibles."
How many people are on foot in the image?,"Several, possibly around 20.",Hay varias personas a pie en la imagen.,Une dizaine de personnes environ.
Is there a child visible in the image?,"Yes, a child is visible on the scooter.","Sí, hay un niño visible en la imagen.","Oui, un enfant est visible."
What is the main color of the scooter?,The scooter is mostly silver.,El color principal de la scooter es gris.,La couleur principale est grise.
How many rickshaws are present in the image?,At least one rickshaw is visible.,Hay un rickshaw en la imagen.,Un ou deux rickshaws sont visibles.
Are there any signs or banners visible?,"Yes, signs and banners are visible.","Sí, hay letreros visibles en la imagen.","Oui, quelques pancartes ou bannières sont visibles."
What are the people in the image doing?,"Walking, riding vehicles, and engaging in daily activities.",Las personas están caminando o montando vehículos.,"Ils marchent, conduisent ou interagissent dans la rue."
How many bicycles are on the road?,At least two bicycles are visible on the road.,Hay varias bicicletas en la carretera.,Au moins trois vélos.
Is the street an urban or rural setting?,It is an urban setting.,La calle es un entorno urbano.,Elle est dans un cadre urbain.
Are there any women in traditional attire?,"Yes, some women are wearing traditional attire.","Sí, hay mujeres con vestimenta tradicional.","Oui, des femmes en tenue traditionnelle sont visibles."
Are any vehicles parked along the street?,No parked vehicles are clearly visible.,"No, no hay vehículos estacionados.","Oui, il y en a quelques-uns."
How many people are riding scooters?,At least two people are riding scooters.,Hay al menos dos personas montando scooters.,Deux personnes conduisent des scooters.
What is the main mode of transportation shown?,Motor scooters and bicycles.,El modo principal de transporte es la motocicleta.,Les scooters et les vélos.
How many people are visible in the image?,Approximately 30 people.,Hay muchas personas visibles en la imagen.,Environ vingt personnes.
What type of vehicle is the man riding?,A motor scooter.,El hombre está montando una motocicleta.,Il conduit un scooter.
Are there any bicycles in the image?,"Yes, several bicycles are visible.","Sí, hay bicicletas en la imagen.","Oui, il y a plusieurs vélos."
What type of shops can be seen in the street?,"Small, local shops and market stalls.",Se pueden ver tiendas locales en la calle.,"Des magasins de rue variés, non identifiables avec précision."
What time of day does the image appear to show?,Likely daytime.,La imagen parece mostrar el día.,"La journée, probablement l’après-midi."
What is the condition of the road in the image?,The road appears dusty but functional.,La carretera está en condiciones normales.,La route est poussiéreuse et encombrée.
How crowded is the street?,The street is moderately crowded.,La calle está bastante concurrida.,"Oui, la rue est assez animée."
Are there overhead cables visible in the image?,"Yes, there are overhead cables visible.","Sí, hay cables aéreos visibles.","Oui, plusieurs câbles aériens sont visibles."
How many people are on foot in the image?,Approximately 20 people.,Hay varias personas a pie en la imagen.,Environ dix personnes.
Is there a child visible in the image?,"Yes, a child is visible on the scooter.","Sí, hay un niño visible en la imagen.","Oui, un enfant est visible."
What is the main color of the scooter?,The scooter is mostly silver.,El color principal de la scooter es gris.,La couleur principale est grise.
How many rickshaws are present in the image?,At least one rickshaw is visible.,Hay un rickshaw en la imagen.,Un ou deux rickshaws sont visibles.
Are there any signs or banners visible?,"Yes, signs and banners are visible.","Sí, hay letreros visibles en la imagen.","Oui, des pancartes ou bannières sont visibles."
What are the people in the image doing?,"Walking, riding vehicles, and engaging in daily activities.",Las personas están caminando o montando vehículos.,"Ils marchent, conduisent ou interagissent dans la rue."
How many bicycles are on the road?,At least two bicycles are visible on the road.,Hay varias bicicletas en la carretera.,Au moins trois vélos.
Is the street an urban or rural setting?,It is an urban setting.,La calle es un entorno urbano.,La rue est dans un cadre urbain.
Are there any women in traditional attire?,"Yes, some women are wearing traditional attire.","Sí, hay mujeres con vestimenta tradicional.","Oui, des femmes en tenue traditionnelle sont visibles."
Are any vehicles parked along the street?,No parked vehicles are clearly visible.,"No, no hay vehículos estacionados.","Oui, quelques véhicules sont stationnés."
How many people are riding scooters?,At least two people are riding scooters.,Hay al menos dos personas montando scooters.,Deux personnes conduisent des scooters.
What objects are people carrying in the image?,,,
Are there any cars visible on the street?,,,
How wide is the road in the image?,,,
Are there any streetlights visible?,,,
Are any pedestrians interacting with vehicles?,,,
What is the dominant color of the buildings?,,,
Are there any children walking in the image?,,,
What type of clothing are the people wearing?,,,
How many people are riding bicycles?,,,
Are there any visible advertisements?,,,
Is there any construction visible in the image?,,,
What is the general atmosphere of the street?,,,
How many people are seated in the image?,,,
Are there any animals visible in the image?,,,
Is there any visible greenery in the image?,,,
Are there any motorized rickshaws in the image?,,,
Are the buildings residential or commercial?,,,
How many people are using non-motorized transport?,,,
Are any electrical poles visible?,,,
Are there any people crossing the street?,,,
What is the primary mode of transportation in the image?,,,
How many people are visible in the image?,,,
What type of vehicle is the man riding?,,,
How many bicycles can be seen in the image?,,,
Are there any rickshaws in the image?,,,
How many people are riding scooters?,,,
What are the pedestrians doing in the image?,,,
Are there any banners or signs visible?,,,
What is the general condition of the road?,,,
How crowded does the street appear to be?,,,
Are there any overhead cables visible?,,,
How many women are visible in the image?,,,
Are there children visible in the image?,,,
What is the man on the scooter carrying?,,,
How many people are wearing traditional attire?,,,
Are there any street vendors present?,,,
What type of shops are on the street?,,,
Are there any parked vehicles on the street?,,,
Are there any cars in the image?,,,
How many people are riding bicycles?,,,
What time of day does the image appear to represent?,,,
Is there any visible greenery in the image?,,,
Are there any streetlights visible?,,,
Are there any animals visible in the image?,,,
Are there any people sitting in the image?,,,
How many buildings can be seen in the image?,,,
Are the buildings commercial or residential?,,,
How many people are walking on the road?,,,
What is the main color of the man’s scooter?,,,
Are there any people crossing the street?,,,
What objects are people carrying in the image?,,,
Are there any advertisements in the image?,,,
Is there any visible construction work?,,,
What is the width of the street?,,,
Are there any vehicles with more than two wheels?,,,
Are there any electric poles in the image?,,,
Is there a market in the street?,,,
Are there any people cycling with goods?,,,
How many people are on two-wheeled vehicles?,,,
What is the dominant activity on the street?,,,
