Question,en,es,fr
What type of animals are shown in the image?,The image shows zebras.,Son cebras.,Ce sont des zèbres.
How many zebras are visible in the picture?,There are two zebras visible in the image.,Dos cebras.,Il y a deux zèbres visibles.
What are the main colors visible on the zebras?,The zebras are black and white in color.,Blanco y negro.,Les zèbres sont principalement noirs et blancs.
Are the zebras standing in profile view?,"Yes, the zebras are shown in profile view.","Sí, están de perfil.","Oui, les zèbres sont en vue de profil."
What patterns can be observed on the zebras' bodies?,The zebras have black-and-white striped patterns.,Rayas blancas y negras.,Des rayures noires et blanches.
Is the background of the image natural or artificial?,The background appears to be natural.,Es natural.,L'arrière-plan est naturel.
What types of plants or foliage are present in the background?,The background contains green leaves and tropical vegetation.,Plantas verdes y follaje tropical.,Il y a des plantes vertes et des feuillages tropicaux.
Are there any other animals visible in the picture?,"No, there are no other animals visible in the image.","No, solo hay cebras.","Non, il n'y a pas d'autres animaux visibles."
What time of day does the lighting suggest?,The lighting suggests it is daytime.,"La luz sugiere que es de día, probablemente por la tarde.",La lumière suggère qu'il est probablement tôt le matin ou en fin d'après-midi.
Are the zebras looking in the same direction?,"Yes, the zebras are looking in the same direction.","Sí, ambas cebras miran en la misma dirección.","Oui, les zèbres regardent dans la même direction."
Can you tell if this image was taken in a zoo or in the wild?,It is unclear whether the image was taken in a zoo or in the wild.,"No, no se puede determinar claramente.",L'image semble avoir été prise dans la nature.
What part of the zebras' bodies is the focus of the image?,The focus of the image is on the zebras' heads and upper bodies.,Las cabezas de las cebras.,L'accent est mis sur la tête des zèbres.
Are the zebras’ ears upright or relaxed?,The zebras’ ears are upright.,Están relajadas.,Les oreilles des zèbres sont détendues.
Can you observe any differences between the two zebras?,There are slight differences in their manes and stripe patterns.,"No, parecen similares.","Non, les deux zèbres semblent très similaires."
What details of the zebras' mane are visible?,"The zebras' manes are upright, short, and striped.",La melena es corta y se ve alrededor de sus cuellos.,La crinière est courte et raide.
Is the image taken from a close distance or zoomed in?,The image appears to be taken from a close distance.,La imagen parece tomada a corta distancia.,L'image a été prise de près.
Are there shadows visible in the image?,"Yes, shadows are visible in the image.","Sí, hay sombras visibles.","Oui, des ombres sont visibles."
